asset_id,family,review_use,panel_structure,required_evidence,claim_boundary,caption_pattern,source_learning_basis,certainty_encoding,source_data_template,script,exports,qa_status
wer-ea-mechanism-map,wer-ea-mechanism-map,mechanism synthesis,resin | emulsion | asphalt | aggregate | water path,FTIR or rheology or microscopy plus bonding anchor,data-driven; arrows follow measured inferred speculative missing tiers,Evidence-bounded mechanism map for WER-EA interface bonding,WER-EA review contract certainty legend,solid measured; dashed inferred; dotted speculative; grey missing,wer_ea_mechanism_map.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-evidence-heatmap,evidence-heatmap,review evidence comparison,papers | evidence layers | source roles,screened citation matrix with source roles,data-driven; missing evidence is absence of report not negative result,Evidence heatmap separating reported and missing WER-EA evidence,Reader citation figure handoff contract,color tier cells and missing grey,wer_ea_evidence_heatmap.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-material-system-map,material-system-map,formulation taxonomy,asphalt | emulsifier | epoxy | curing agent | dosage,formulation rows and preparation route,data-driven; material families are descriptive unless performance matched,Material-system map for WER-EA formulations and preparation routes,WER-EA source quality taxonomy,node groups by formulation field,wer_ea_material_system_map.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-performance-boundary,performance-mechanism-boundary,overclaim control,performance | mechanism cue | support level | gap,matched performance and characterization evidence,data-driven; performance improvement is not mechanism confirmation,Boundary map between performance evidence and mechanism support,Reviewer-risk pressure tests,tiered support ladder,wer_ea_performance_boundary.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-screening-flow,literature-screening-flow,review methods figure,search | screen | include | classify | exclude,search counts and exclusion reasons,data-driven; counts require reproducible screening log,Literature-screening flow for WER-EA evidence classification,Review package workflow,flow boxes with exclusion notes,wer_ea_screening_flow.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-graphical-abstract,graphical-abstract,review graphical abstract,problem | material design | evidence chain | application | gap,review scope and representative source anchors,data-driven; no universal improvement or field validation implied,Graphical abstract for WER-EA bonding review,Review figure intake protocol,storyline panels with boundary callout,wer_ea_graphical_abstract.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-dosage-window,dosage-workability-window,dosage optimization,dosage | viscosity | bonding | stability | workability,dosage series and units,data-driven; optimum is conditional on protocol and temperature,Dosage workability performance window for WER-EA,Asphalt figure package rules,window curve with risk zones,wer_ea_dosage_window.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-emulsion-stability,emulsion-stability-timeline,stability summary,time | separation | particle stability | warning,storage protocol and stability metric,data-driven; storage stability alone does not prove bonding,Emulsion stability timeline for modified emulsified asphalt,Durability and stability references,timeline with measured and missing markers,wer_ea_emulsion_stability.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-curing-sequence,curing-demulsification-sequence,process mechanism,breaking | water escape | curing | film formation,time-resolved or proxy evidence,data-driven; sequence remains speculative without time-resolved data,Curing and demulsification sequence for WER-EA,Mechanism figure contract,process arrows by certainty,wer_ea_curing_sequence.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-bonding-comparison,bonding-performance-comparison,performance comparison,dry | wet | aged | retained strength,matched bonding test method and uncertainty,data-driven; cross-study comparison requires matched protocol,Bonding performance comparison under conditioning states,Performance figure rules,grouped bars with method warning,wer_ea_bonding_comparison.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
wer-ea-pull-off-shear,pull-off-shear-method-comparison,method comparison,pull-off | shear | direct tension | failure mode,test geometry loading rate and units,data-driven; test modes are not interchangeable,Pull-off and shear method comparison for tack coat bonding,Test standard extraction card,parallel method lanes,wer_ea_pull_off_shear.csv,regenerate_wer_ea_atlas.py,svg;png,data-driven
